,property_id,address,street_name,city,rstate,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name
683,59211865,"1 Huntington Ave APT 807, Boston, MA 02116",Huntington Ave APT 807,Boston,MA,2116,2200000,2154100,2,2,1643,1339,10018.8,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay
684,59170902,"191 Commonwealth Ave APT 3, Boston, MA 02116",Commonwealth Ave APT 3,Boston,MA,2116,3250000,3127000,3,3,1399,2323,2323.0,CONDO,FOR_SALE,Compass
687,59184321,"570 Massachusetts Ave #5, Boston, MA 02118",Massachusetts Ave #5,Boston,MA,2118,1150000,1121100,3,2,1013,1135,1135.0,CONDO,FOR_SALE,News Realty LLC
689,90141331,"776 Boylston St UNIT W11A, Boston, MA 02199",Boylston St UNIT W11A,Boston,MA,2199,10800000,10135400,2,3,3409,3168,3168.0,CONDO,FOR_SALE,MGS Group Real Estate LTD
690,90141579,"776 Boylston St PENTHOUSE 1D, Boston, MA 02199",Boylston St PENTHOUSE 1D,Boston,MA,2199,4750000,5114600,2,3,2392,1985,2178.0,CONDO,FOR_SALE,Gibson Sotheby's International Realty
691,59170503,"242 Beacon St APT 8, Boston, MA 02116",Beacon St APT 8,Boston,MA,2116,2995000,2934300,3,3,1508,1986,2178.0,CONDO,FOR_SALE,Coldwell Banker Realty - South End
695,59171846,"180 Beacon St #5G, Boston, MA 02116",Beacon St #5G,Boston,MA,2116,3350000,3274700,3,3,1509,2220,2220.0,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
699,59160085,"47 Keystone St, Boston, MA 02132",Keystone St,Boston,MA,2132,649500,686000,3,2,443,1464,3484.8,SINGLE_FAMILY,FOR_SALE,"HMW Real Estate, LLC"
700,59160973,"28 Bungalow Rd, Boston, MA 02132",Bungalow Rd,Boston,MA,2132,459000,477900,2,2,655,700,4356.0,SINGLE_FAMILY,FOR_SALE,Bob Gallagher Real Estate
701,67396170,"777 Lagrange St APT 5, Boston, MA 02132",Lagrange St APT 5,Boston,MA,2132,399900,400500,2,1,650,615,615.0,CONDO,FOR_SALE,"Lamacchia Realty, Inc."
